Date,Open,High,Low,Close,Volume,Adj Close
2004-06-18,74.449997,74.959999,74.129997,74.419998,6653200,26.626371
2004-06-21,74.900002,75.440002,74.519997,74.980003,3327600,26.826733
2004-06-22,76.00,76.650002,75.110001,76.650002,4883200,27.424233
2004-06-23,76.690002,77.889999,76.349998,77.889999,4114200,27.867886
2004-06-24,78.139999,79.400002,78.029999,79.099998,5932800,28.300806
2004-06-25,78.849998,79.239998,78.019997,78.150002,5163400,27.960911
2004-06-28,78.550003,78.779999,77.150002,77.480003,3518200,27.721196
2004-06-29,77.400002,79.050003,77.050003,78.82,3816000,28.200627
2004-06-30,78.800003,79.599998,78.00,79.440002,5106000,28.422454
2004-07-01,79.199997,79.389999,77.739998,78.18,3636800,27.971644
2004-07-02,78.18,78.190002,76.389999,76.720001,3955000,27.449278
2004-07-06,76.720001,76.970001,76.019997,76.730003,3237200,27.452857
2004-07-07,76.480003,77.57,76.25,77.50,2808600,27.72835
2004-07-08,77.349998,77.470001,76.489998,76.529999,3382000,27.381298
2004-07-09,77.099998,77.639999,76.790001,77.080002,3442000,27.578081
2004-07-12,77.080002,78.389999,76.660004,78.230003,2911800,27.989535
2004-07-13,77.559998,79.32,77.559998,79.269997,4124600,28.361629
2004-07-14,78.949997,79.43,78.339996,78.779999,3845600,28.186315
2004-07-15,78.779999,79.629997,78.669998,79.400002,2916600,28.408143
2004-07-16,79.480003,79.599998,77.720001,77.809998,4241400,27.983764
2004-07-19,77.82,78.589996,77.419998,78.190002,3474800,28.12043
2004-07-20,78.199997,78.730003,77.529999,78.07,2848000,28.077272
2004-07-21,78.449997,79.209999,76.529999,76.949997,4892400,27.674471
2004-07-22,72.50,73.830002,71.050003,73.529999,17837000,26.444495
2004-07-23,73.529999,74.150002,72.470001,73.220001,7610600,26.333007
2004-07-26,73.230003,73.790001,72.379997,72.599998,5043800,26.110028
2004-07-27,72.599998,72.650002,71.50,72.169998,6918000,25.955382
2004-07-28,72.18,73.910004,71.989998,73.43,6343800,26.408532
2004-07-29,73.949997,74.260002,73.059998,73.93,3329400,26.588353
2004-07-30,73.93,74.099998,73.120003,73.489998,3467800,26.430109
2004-08-02,73.239998,73.489998,72.75,73.099998,4189800,26.289849
2004-08-03,73.099998,73.099998,71.239998,71.68,7607600,25.779158
2004-08-04,72.00,72.190002,71.50,71.699997,6272800,25.786349
2004-08-05,71.849998,71.910004,69.620003,69.620003,6006400,25.038296
2004-08-06,69.150002,70.900002,68.50,70.25,9485600,25.264869
2004-08-09,70.75,70.989998,69.940002,70.07,3340800,25.200134
2004-08-10,70.059998,71.32,69.849998,71.260002,4053800,25.628109
2004-08-11,71.010002,72.150002,70.550003,72.059998,4323000,25.915821
2004-08-12,71.50,71.980003,71.269997,71.760002,5892600,25.80793
2004-08-13,71.650002,72.150002,71.309998,71.75,4379400,25.804333
2004-08-16,71.75,72.870003,71.279999,72.870003,4745600,26.207133
2004-08-17,73.599998,74.199997,72.199997,72.480003,6229000,26.066873
2004-08-18,72.230003,72.779999,72.050003,72.50,4389200,26.074064
2004-08-19,72.50,72.510002,70.690002,71.290001,5305200,25.638898
2004-08-20,71.00,72.580002,71.00,72.239998,3947800,25.980557
2004-08-23,72.489998,72.769997,71.860001,72.050003,2516600,25.912226
2004-08-24,73.849998,73.849998,72.870003,73.150002,5324200,26.307832
2004-08-25,73.330002,74.010002,72.849998,73.870003,4168000,26.566775
2004-08-26,73.870003,74.089996,73.269997,73.709999,2586600,26.509231
2004-08-27,73.860001,74.040001,73.349998,73.699997,2037000,26.505634
2004-08-30,73.550003,73.550003,72.239998,72.25,2704400,25.984154
2004-08-31,72.440002,73.019997,72.00,72.699997,2309800,26.145992
2004-09-01,72.870003,73.449997,72.449997,72.620003,3301600,26.117222
2004-09-02,72.769997,73.260002,72.260002,73.18,3238000,26.318621
2004-09-03,73.50,73.889999,73.160004,73.559998,2645800,26.455284
2004-09-07,74.230003,75.639999,74.150002,75.440002,5689800,27.131414
2004-09-08,75.230003,75.470001,74.900002,75.199997,2582400,27.045097
2004-09-09,75.199997,75.379997,74.449997,74.870003,3565400,26.926418
2004-09-10,75.199997,75.199997,73.970001,75.099998,3063200,27.009134
2004-09-13,75.300003,76.110001,75.260002,75.959999,3771800,27.318426
2004-09-14,76.00,76.00,75.239998,75.720001,2927400,27.232113
2004-09-15,75.599998,75.599998,74.459999,74.650002,3351200,26.847296
2004-09-16,74.650002,75.400002,74.519997,74.839996,2389400,26.915626
2004-09-17,75.25,76.199997,75.059998,76.120003,4933400,27.37597
2004-09-20,75.699997,76.589996,75.589996,75.879997,2637800,27.289654
2004-09-21,75.989998,76.769997,75.860001,76.330002,3407600,27.451495
2004-09-22,76.099998,76.110001,75.059998,75.360001,3450200,27.102641
2004-09-23,75.360001,75.480003,74.129997,74.50,3271000,26.793349
2004-09-24,74.199997,75.260002,74.199997,74.760002,3156400,26.886857
2004-09-27,74.220001,74.699997,74.010002,74.419998,2538400,26.764577
2004-09-28,74.550003,77.910004,74.540001,76.900002,9189800,27.656491
2004-09-29,77.25,80.550003,77.019997,80.50,14205200,28.951203
2004-09-30,80.400002,81.300003,79.849998,80.449997,8609600,28.933219
2004-10-01,80.440002,80.970001,79.919998,80.599998,7250400,28.987166
2004-10-04,80.75,81.989998,80.75,81.25,5685000,29.220934
2004-10-05,81.25,81.309998,80.089996,80.370003,4108400,28.90445
2004-10-06,80.370003,81.00,80.139999,81.00,3496600,29.131024
2004-10-07,81.300003,81.650002,79.889999,80.00,4044600,28.771381
2004-10-08,80.010002,80.25,79.209999,79.50,3201000,28.59156
2004-10-11,79.50,80.300003,79.209999,79.410004,1914400,28.559194
2004-10-12,79.169998,80.25,78.50,79.739998,3672000,28.677874
2004-10-13,79.75,79.75,78.050003,79.089996,7324800,28.444106
2004-10-14,79.089996,79.940002,78.440002,79.50,5250800,28.59156
2004-10-15,79.510002,81.730003,79.50,81.089996,6098200,29.16339
2004-10-18,81.010002,81.160004,80.150002,81.129997,4689400,29.177776
2004-10-19,81.330002,81.989998,80.279999,80.870003,5197200,29.084271
